	domain_type	metric_name	encoder_type	metric_value
0	image	diversity	e4e	0.2190218838778409
1	image	diversity	fse	0.22512262517755682
2	image	diversity	fse_with_features	0.3202126242897727
3	image	diversity	fse_with_generator_shift	0.2885797674005682
4	image	diversity	orig	0.23115678267045456
5	image	quality	e4e	0.24946732954545456
6	image	quality	fse	0.24851851029829544
7	image	quality	fse_with_features	0.23523504083806818
8	image	quality	fse_with_generator_shift	0.24106667258522727
9	image	quality	orig	0.2475918856534091
10	text	diversity	e4e	0.202432861328125
11	text	diversity	fse	0.201016845703125
12	text	diversity	fse_with_features	0.29418701171875
13	text	diversity	fse_with_generator_shift	0.2611083984375
14	text	diversity	orig	0.208154296875
15	text	quality	e4e	0.3083447265625
16	text	quality	fse	0.3082373046875
17	text	quality	fse_with_features	0.2764892578125
18	text	quality	fse_with_generator_shift	0.287685546875
19	text	quality	orig	0.31314208984375
